Scn1,Sc2,Sc3,sc4
10.67,10.67,10.67,10.67
10.22,10.22,10.22,10.22
9.53,9.53,9.53,9.53
7.39,7.39,7.39,7.39
23.02,23.02,23.02,23.02
3.26,3.26,3.26,3.26
7.58,7.58,7.58,7.58
8.07,8.07,8.07,8.07
2.59,2.59,2.59,2.59
10.32,10.32,10.32,10.32
13.69,13.69,13.69,13.69
19.29,19.29,19.29,19.29
1.2,1.2,1.2,1.2
4.13,4.13,4.13,4.13
3.91,3.91,3.91,3.91
0,0,0,0
0.17,0.17,0.17,0.17
0.49,0.49,0.49,0.49
0.14,0.14,0.14,0.14
0,0,0,0
0,0,0,0
1.64,1.64,1.64,1.64
0,0,0,0
0,0,0,0
0,0,0,0
0.38,0.38,0.38,0.38
0.26,0.26,0.26,0.26
0.2,0.2,0.2,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.35,1.35,1.35,1.35
1.17,1.17,1.17,1.17
1.49,1.49,1.49,1.49
7.01,7.01,7.01,7.01
0.82,0.82,0.82,0.82
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
11.85,11.85,11.85,11.85
0.19,0.19,0.19,0.19
42.26,42.26,42.26,42.26
11.23,11.23,11.23,11.23
0,0,0,0
0,0,0,0
0,0,0,0
2.54,2.54,2.54,2.54
1.46,1.46,1.46,1.46
0.26,0.26,0.26,0.26
5.63,5.63,5.63,5.63
19.75,19.75,19.75,19.75
7.43,7.43,7.43,7.43
9.97,9.97,9.97,9.97
0,0,0,0
4.36,4.36,4.36,4.36
4.98,4.98,4.98,4.98
0,0,0,0
0.42,0.42,0.42,0.42
0,0,0,0
0,0,0,0
0,0,0,0
20.76,20.76,20.76,20.76
0,0,0,0
14.3,14.3,14.3,14.3
16.71,16.71,16.71,16.71
2.56,2.56,2.56,2.56
26.94,26.94,26.94,26.94
1.1,1.1,1.1,1.1
0,0,0,0
0,0,0,0
26.25,26.25,26.25,26.25
4.83,4.83,4.83,4.83
42.26,42.26,42.26,42.26
2.83,2.83,2.83,2.83
16.75,16.75,16.75,16.75
0.2,0.2,0.2,0.2
3.37,3.37,3.37,3.37
0,0,0,0
0,0,0,0
0,0,0,0
4.87,4.87,4.87,4.87
14.02,14.02,14.02,14.02
19.42,19.42,19.42,19.42
15.42,15.42,15.42,15.42
0,0,0,0
0,0,0,0
6.2,6.2,6.2,6.2
7.43,7.43,7.43,7.43
24.18,24.18,24.18,24.18
3.15,3.15,3.15,3.15
0,0,0,0
0,0,0,0
0,0,0,0
2.93,2.93,2.93,2.93
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.24,4.24,4.24,4.24
30.41,30.41,30.41,30.41
21.15,21.15,21.15,21.15
7.57,7.57,7.57,7.57
0,0,0,0
0.99,0.99,0.99,0.99
0.78,0.78,0.78,0.78
0.26,0.26,0.26,0.26
3.42,3.42,3.42,3.42
12.78,12.78,12.78,12.78
4.74,4.74,4.74,4.74
6.86,6.86,6.86,6.86
0,0,0,0
0,0,0,0
