"DATE","isOverSnowTotal"_sc_26_1,"isOverSnowTotal"_sc_26_2,"isOverSnowTotal"_sc_26_3,"isOverSnowTotal"_sc_26_4,"isOverSnowTotal"_sc_26_5,"isOverSnowTotal"_sc_26_6,"isOverSnowTotal"_sc_26_7,"isOverSnowTotal"_sc_26_8,"isOverSnowTotal"_sc_26_9,"isOverSnowTotal"_sc_26_10,"isOverSnowTotal"_sc_26_11,"isOverSnowTotal"_sc_26_12,"isOverSnowTotal"_sc_45_1,"isOverSnowTotal"_sc_45_2,"isOverSnowTotal"_sc_45_3,"isOverSnowTotal"_sc_45_4,"isOverSnowTotal"_sc_45_5,"isOverSnowTotal"_sc_45_6,"isOverSnowTotal"_sc_45_7,"isOverSnowTotal"_sc_45_8,"isOverSnowTotal"_sc_45_9,"isOverSnowTotal"_sc_45_10,"isOverSnowTotal"_sc_45_11,"isOverSnowTotal"_sc_45_12,"isOverSnowTotal"_sc_45_13,"isOverSnowTotal"_sc_45_14,"isOverSnowTotal"_sc_45_15,"isOverSnowTotal"_sc_45_16,"isOverSnowTotal"_sc_45_17,"isOverSnowTotal"_sc_45_18,"isOverSnowTotal"_sc_45_19,"isOverSnowTotal"_sc_45_20,"isOverSnowTotal"_sc_45_21,"isOverSnowTotal"_sc_45_22,"isOverSnowTotal"_sc_45_23,"isOverSnowTotal"_sc_45_24,"isOverSnowTotal"_sc_45_25,"isOverSnowTotal"_sc_85_1,"isOverSnowTotal"_sc_85_2,"isOverSnowTotal"_sc_85_3,"isOverSnowTotal"_sc_85_4,"isOverSnowTotal"_sc_85_5,"isOverSnowTotal"_sc_85_6,"isOverSnowTotal"_sc_85_7,"isOverSnowTotal"_sc_85_8,"isOverSnowTotal"_sc_85_9,"isOverSnowTotal"_sc_85_10,"isOverSnowTotal"_sc_85_11,"isOverSnowTotal"_sc_85_12,"isOverSnowTotal"_sc_85_13,"isOverSnowTotal"_sc_85_14,"isOverSnowTotal"_sc_85_15,"isOverSnowTotal"_sc_85_16,"isOverSnowTotal"_sc_85_17,"isOverSnowTotal"_sc_85_18,"isOverSnowTotal"_sc_85_19,"isOverSnowTotal"_sc_85_20,"isOverSnowTotal"_sc_85_21,"isOverSnowTotal"_sc_85_22,"isOverSnowTotal"_sc_85_23,"isOverSnowTotal"_sc_85_24,"isOverSnowTotal"_sc_85_25,"isOverSnowTotal"_sc_85_26,"isOverSnowTotal"_sc_85_27,"isOverSnowTotal"_sc_85_28,"isOverSnowTotal"_sc_85_29,"isOverSnowTotal"_sc_85_30,"isOverSnowTotal"_sc_85_31
2014,365,365,365,360,365,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,360,360,365,365,365,365,360,365,365,365,365,360,360,365,365,365,365
2015,365,365,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,360,360,365,365,365,365,360,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,360,365,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,365,360,365
2016,366,366,366,366,365,360,365,366,366,366,360,366,365,366,366,366,365,366,360,366,366,365,365,366,366,366,365,365,366,366,366,360,360,366,360,366,365,366,365,366,366,365,365,366,360,366,365,366,360,366,365,365,366,360,366,360,366,366,360,365,360,366,366,366,360,366,366,365
2017,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,360,365,360,365,365,365,360,365,360,365,365,365,360,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,365,360,360,365,365,365
2018,365,365,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,365,360,365,360,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,360,365,365,360,365,365,365,360,365,360
2019,365,365,365,365,365,360,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,365,360,365,360,365,365,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,365,360,365,365,365
2020,366,366,366,366,366,366,365,360,366,365,360,366,366,365,366,365,366,366,366,366,365,366,366,365,366,365,360,360,366,360,366,366,366,365,360,366,365,360,365,366,365,366,365,365,366,365,360,366,360,365,360,366,365,366,366,366,360,366,365,366,366,360,366,366,360,366,366,366
2021,365,365,360,365,365,365,365,360,365,365,365,365,360,365,365,360,360,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,360,365,365,360,365,365,365,365,365,365,365
2022,365,360,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,365,365,365,365,360,365,360,365,365,365,365,360,365,365,365,365,360,365,360
2023,365,360,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,365,360,365,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,360,365,365,365,365,365,365,360,365,360,365,365,365,365,365,360,365,365,360,365,365,365,360,365
2024,360,365,366,366,366,366,366,366,360,366,366,365,366,365,365,360,360,360,366,365,365,365,360,365,366,366,366,365,366,366,366,366,366,366,366,366,366,366,360,366,365,365,366,366,366,360,360,366,366,360,366,365,360,365,366,366,366,360,365,366,365,366,366,366,365,365,360,366
2025,365,365,365,365,365,360,360,365,365,365,365,365,365,365,365,360,360,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,360,365,365,365,365,365,365,365,360,360,365,365,365,360,365,360,365,365,365,360,365,365,365,365
2026,360,365,365,365,365,365,365,365,360,365,365,365,360,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,360,365,360,365,365,365,365,360,365,360,365,365,360,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365
2027,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,365,365,360,365,360,365,365,365,365
2028,366,366,366,360,366,366,366,360,366,366,365,365,360,360,366,365,366,366,365,366,365,366,366,365,365,366,366,366,366,365,366,360,365,366,360,366,366,365,366,366,366,366,365,365,365,365,366,366,366,360,366,365,360,360,365,366,366,365,360,360,360,366,366,366,366,366,360,366
2029,365,365,365,365,365,360,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,365,360,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,360,365,365,365,360,365,365,365,360,365,365,360,365,360,365
2030,360,365,365,365,365,365,360,365,365,365,365,365,360,365,365,360,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,365,360,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,365,365,360,365,365,365,365,360,365,365,365,360
2031,360,365,365,365,365,365,360,365,365,365,365,365,360,360,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,365,365,365,360,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,365,365,360,365,365,360,360,365,365,365,365
2032,366,360,366,366,366,365,360,366,365,366,366,366,366,365,366,366,366,366,365,360,365,365,366,366,366,366,366,360,365,365,365,360,366,366,366,366,360,365,366,366,365,365,360,366,365,360,366,366,366,360,365,360,366,360,366,366,360,360,366,365,366,365,365,366,366,366,366,366
2033,365,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,360,365,365,365,365,365,365,360,365,365,360,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,360,365,365,365,365,360,360,365,365,360,365,360,365,365,365,365,365,365,365,365,360
2034,365,365,365,365,365,365,365,365,360,365,360,365,365,365,365,360,365,365,365,365,365,360,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,365,365,360,365,365,365
2035,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,360,365,365,360,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,360,360,365,360,365,365,365
2036,366,366,360,366,366,365,366,366,366,360,366,365,360,366,365,366,366,365,366,366,366,366,360,365,366,360,366,365,366,365,366,366,365,366,365,366,360,366,366,365,366,366,360,365,366,360,365,366,366,360,366,366,365,360,366,360,360,366,365,365,366,365,360,366,366,365,366,366
2037,365,365,360,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,365,365,360,365,365,360,365,365,365,365,365,365,365,365,365,365,360,360,365,365,360,365,365,365,365,365,360,365,365,360,365,360,365,365
2038,360,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,365,360,360,365,365,365,365,365,365,365,365,365,365,365,365,360,365,360,365,365,360,360,365,360,360,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365
2039,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,360,365,360,365,360,365,365,365,365,365,365,365,365,360,360,365,365,360,365,365,365,360,365,365,365,365,360,365,360,365,365,365,365,365
2040,366,366,365,365,360,360,366,366,366,366,366,366,365,365,360,366,365,365,366,366,366,366,360,366,360,366,360,365,366,366,366,366,366,365,365,366,366,365,366,360,366,366,365,365,366,366,366,366,366,360,365,366,366,366,365,360,366,360,366,366,365,360,366,365,365,360,366,360
2041,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,365,365,360,360,365,365,365,365,365,365,365,360,365,365,365,365,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,360,365,360
2042,365,365,365,365,365,365,360,365,365,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,360,365,365,365,360,365,365,360,365,365,365,365,365,360,365,360,365,365
2043,365,365,365,365,365,365,365,360,365,360,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,365,365,365,360,365,365,365,365,365,360,365,365,365,360,365,365,360,365,365,360,365,365,365,360,360,365
