"DATE","isOverSnowTotal"_sc_26_1,"isOverSnowTotal"_sc_26_2,"isOverSnowTotal"_sc_26_3,"isOverSnowTotal"_sc_26_4,"isOverSnowTotal"_sc_26_5,"isOverSnowTotal"_sc_26_6,"isOverSnowTotal"_sc_26_7,"isOverSnowTotal"_sc_26_8,"isOverSnowTotal"_sc_26_9,"isOverSnowTotal"_sc_26_10,"isOverSnowTotal"_sc_26_11,"isOverSnowTotal"_sc_26_12,"isOverSnowTotal"_sc_45_1,"isOverSnowTotal"_sc_45_2,"isOverSnowTotal"_sc_45_3,"isOverSnowTotal"_sc_45_4,"isOverSnowTotal"_sc_45_5,"isOverSnowTotal"_sc_45_6,"isOverSnowTotal"_sc_45_7,"isOverSnowTotal"_sc_45_8,"isOverSnowTotal"_sc_45_9,"isOverSnowTotal"_sc_45_10,"isOverSnowTotal"_sc_45_11,"isOverSnowTotal"_sc_45_12,"isOverSnowTotal"_sc_45_13,"isOverSnowTotal"_sc_45_14,"isOverSnowTotal"_sc_45_15,"isOverSnowTotal"_sc_45_16,"isOverSnowTotal"_sc_45_17,"isOverSnowTotal"_sc_45_18,"isOverSnowTotal"_sc_45_19,"isOverSnowTotal"_sc_45_20,"isOverSnowTotal"_sc_45_21,"isOverSnowTotal"_sc_45_22,"isOverSnowTotal"_sc_45_23,"isOverSnowTotal"_sc_45_24,"isOverSnowTotal"_sc_45_25,"isOverSnowTotal"_sc_85_1,"isOverSnowTotal"_sc_85_2,"isOverSnowTotal"_sc_85_3,"isOverSnowTotal"_sc_85_4,"isOverSnowTotal"_sc_85_5,"isOverSnowTotal"_sc_85_6,"isOverSnowTotal"_sc_85_7,"isOverSnowTotal"_sc_85_8,"isOverSnowTotal"_sc_85_9,"isOverSnowTotal"_sc_85_10,"isOverSnowTotal"_sc_85_11,"isOverSnowTotal"_sc_85_12,"isOverSnowTotal"_sc_85_13,"isOverSnowTotal"_sc_85_14,"isOverSnowTotal"_sc_85_15,"isOverSnowTotal"_sc_85_16,"isOverSnowTotal"_sc_85_17,"isOverSnowTotal"_sc_85_18,"isOverSnowTotal"_sc_85_19,"isOverSnowTotal"_sc_85_20,"isOverSnowTotal"_sc_85_21,"isOverSnowTotal"_sc_85_22,"isOverSnowTotal"_sc_85_23,"isOverSnowTotal"_sc_85_24,"isOverSnowTotal"_sc_85_25,"isOverSnowTotal"_sc_85_26,"isOverSnowTotal"_sc_85_27,"isOverSnowTotal"_sc_85_28,"isOverSnowTotal"_sc_85_29,"isOverSnowTotal"_sc_85_30,"isOverSnowTotal"_sc_85_31
2061-2062,181,180,179,181,181,181,180,181,181,181,181,181,181,181,181,181,180,180,180,180,180,181,181,180,181,181,180,181,181,181,181,181,181,180,181,181,181,181,181,181,181,179,181,180,181,181,181,181,180,181,179,181,181,181,181,181,180,181,180,180,180,180,181,180,181,180,181,180
2062-2063,181,180,178,181,181,181,181,181,179,181,181,181,181,181,181,181,180,181,180,181,178,181,181,178,181,181,181,181,181,181,181,181,179,181,179,181,181,179,179,181,181,180,181,179,181,179,181,181,180,181,178,181,179,181,181,181,181,181,180,180,181,181,181,181,181,178,181,180
2063-2064,182,182,179,182,182,182,182,182,181,182,182,180,182,182,182,182,182,182,182,182,181,182,182,179,180,182,182,180,182,182,182,180,181,182,181,182,182,181,181,180,182,182,182,179,180,181,182,182,182,180,181,182,179,182,182,182,182,182,182,182,182,182,182,182,180,179,182,182
2064-2065,179,181,180,181,181,181,179,181,181,181,181,180,181,181,181,181,181,181,179,181,181,181,181,180,180,181,179,180,181,181,181,180,181,179,181,181,179,181,181,180,181,181,181,178,178,181,181,181,179,178,181,181,180,179,181,181,181,179,179,181,181,181,181,181,180,180,181,181
2065-2066,178,181,181,181,181,181,180,181,181,181,179,181,181,181,181,179,181,181,180,181,181,181,181,181,181,181,178,181,179,179,181,181,181,180,181,181,180,181,181,181,181,181,179,180,180,179,179,181,178,180,179,181,181,180,181,181,181,178,180,181,181,181,181,181,181,181,179,181
2066-2067,180,181,179,181,181,179,181,181,181,181,180,181,181,181,181,178,181,181,179,181,181,181,181,179,181,181,180,181,180,180,181,181,181,181,181,179,181,181,179,181,181,181,180,179,181,180,178,179,180,179,180,181,181,181,181,181,179,180,181,181,181,181,181,179,181,181,180,181
2067-2068,182,182,181,182,180,179,181,182,182,182,182,181,181,182,180,181,181,181,180,182,182,181,182,179,182,181,182,182,182,182,182,182,180,182,180,181,181,182,181,182,182,180,182,181,181,182,179,180,182,180,180,182,182,182,181,182,179,181,181,180,182,180,182,180,181,182,182,180
2068-2069,181,181,181,181,178,180,181,181,181,179,181,181,179,181,180,181,181,181,181,181,179,179,181,180,181,181,181,179,181,181,181,181,180,181,180,181,181,179,181,181,181,178,181,181,181,181,180,179,181,181,180,179,181,181,181,181,178,181,179,180,181,180,181,181,181,181,181,178
2069-2070,181,180,181,181,181,181,181,180,181,181,181,181,181,180,181,181,180,181,181,181,181,181,181,181,181,181,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,181,181,181,181,181,181,181,180,181,181,181,181,181,181,180,181,180,181,181,181,180,180,180,181,181
2070-2071,181,180,181,181,181,181,181,180,179,181,179,181,181,180,179,181,180,179,181,181,179,181,181,181,181,181,180,180,181,181,181,181,181,179,181,181,181,181,181,181,181,179,180,179,181,181,179,181,181,179,180,181,181,181,181,181,179,180,181,178,179,181,181,180,180,180,181,181
2071-2072,182,182,182,181,182,182,182,181,181,182,181,182,181,182,180,182,182,181,182,182,181,182,182,182,182,182,182,182,182,182,182,182,181,181,182,182,181,181,182,182,182,181,182,180,182,182,181,182,182,180,182,181,182,182,182,181,181,182,182,180,181,182,182,181,182,182,182,182
2072-2073,179,181,181,180,181,179,181,180,181,181,181,181,178,181,180,181,179,179,181,181,181,181,181,181,181,181,181,179,181,181,181,181,180,181,181,181,180,180,181,181,181,181,181,180,181,181,179,181,181,180,179,180,179,181,181,180,179,181,179,178,181,181,181,180,179,181,181,181
2073-2074,180,181,181,181,181,181,181,181,181,181,180,181,180,180,181,181,181,181,181,181,181,180,181,181,181,181,181,181,181,181,181,181,180,181,181,181,181,180,181,181,181,181,181,181,181,180,181,180,181,180,181,181,181,180,181,181,181,181,181,181,181,180,181,180,181,181,181,181
2074-2075,180,181,181,181,181,181,180,181,181,181,181,181,181,181,181,181,181,181,181,181,180,180,181,181,181,181,181,181,181,181,181,180,181,181,181,181,180,181,180,181,180,181,180,181,181,180,181,181,181,181,181,180,181,181,181,181,181,181,180,181,180,181,181,181,181,181,181,181
2075-2076,181,180,182,182,182,182,181,182,182,180,182,182,182,182,182,182,182,182,182,182,181,181,182,182,182,182,182,180,180,182,182,181,182,180,182,180,181,182,181,182,181,180,181,182,182,181,182,180,180,182,182,181,182,180,180,182,180,182,181,182,181,182,182,182,182,182,180,182
2076-2077,181,178,181,179,181,181,181,181,181,180,181,181,181,181,181,181,181,179,179,181,181,181,181,179,181,181,181,180,180,181,181,181,181,180,179,180,181,181,181,181,181,180,181,179,181,181,179,180,180,181,181,179,181,180,180,181,180,181,181,181,181,179,181,179,181,179,178,181
2077-2078,181,180,181,180,181,181,181,181,179,181,179,181,179,179,181,181,179,180,180,181,181,181,181,180,181,181,181,181,181,181,181,179,181,181,180,181,181,181,179,181,181,181,179,180,181,181,180,181,181,181,181,178,181,179,181,179,181,181,181,179,181,180,181,180,181,178,180,181
2078-2079,181,181,181,180,181,181,181,181,180,180,180,181,180,180,181,181,180,181,181,180,181,181,181,181,181,181,181,181,181,180,180,180,180,181,181,181,181,180,180,180,181,181,180,180,181,181,181,180,181,181,181,180,181,179,181,180,180,181,181,180,181,180,181,181,181,180,181,181
2079-2080,182,180,182,181,182,182,180,182,182,181,182,182,182,182,182,182,182,182,180,181,182,182,182,182,182,182,180,182,182,181,181,180,179,182,182,182,182,181,180,179,182,182,182,181,182,180,182,179,180,182,182,182,182,181,182,182,181,180,182,182,182,181,180,182,182,182,182,182
2080-2081,179,180,179,181,181,181,180,181,181,181,181,181,181,181,181,179,181,179,180,181,181,181,179,181,181,181,180,181,181,181,181,180,180,179,181,181,181,179,180,180,181,179,179,179,181,180,181,180,180,181,181,181,179,181,181,181,181,180,181,181,181,179,180,181,181,181,179,181
2081-2082,180,181,180,181,181,181,181,181,181,181,179,179,181,179,181,180,181,180,181,181,181,181,180,181,181,179,181,181,181,179,181,181,179,180,181,181,181,180,181,179,179,180,180,178,181,181,181,179,181,181,181,181,178,179,181,181,181,181,181,181,181,180,181,181,181,181,180,179
2082-2083,181,181,181,181,181,181,181,181,181,181,178,178,181,180,181,181,181,181,179,181,179,181,181,181,181,180,181,181,181,180,179,181,178,181,181,181,181,181,181,180,178,181,181,180,181,181,181,180,179,181,179,181,180,180,179,181,181,181,181,179,179,181,181,181,181,179,181,180
2083-2084,182,182,182,182,182,182,182,180,182,182,180,182,182,182,182,182,180,182,182,182,180,182,182,182,182,182,182,182,182,182,182,182,180,180,182,182,182,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,180,182,182,180,182,182,180,180,182,182,182,182,180,180,182,182
2084-2085,180,181,181,180,181,181,181,180,181,181,180,181,181,181,180,181,180,181,181,181,180,181,181,181,181,180,181,180,181,181,181,180,180,180,181,181,181,179,181,181,181,181,181,181,181,181,180,181,181,181,181,181,180,180,180,180,181,181,180,180,180,180,181,181,180,179,181,181
2085-2086,180,181,181,180,181,181,180,181,181,180,181,181,181,181,180,180,181,181,181,181,181,180,181,181,181,180,181,180,181,180,181,179,181,181,181,181,181,179,181,181,181,180,180,180,181,181,180,181,181,181,180,181,181,180,180,181,181,181,181,181,180,179,180,181,181,180,181,181
2086-2087,181,181,181,181,181,181,180,180,181,179,181,181,181,181,181,180,181,181,181,181,181,180,180,181,181,181,181,181,181,179,181,180,181,181,180,181,180,180,181,181,181,180,180,179,181,180,181,181,180,181,180,181,181,180,181,181,180,181,181,181,181,180,179,181,181,181,180,181
2087-2088,182,182,182,180,180,182,181,180,182,181,182,182,182,182,181,181,182,181,182,181,182,181,181,182,182,182,181,182,182,179,180,181,180,182,179,182,181,182,180,182,182,180,182,180,182,180,182,182,180,182,181,181,181,179,182,180,181,182,181,182,180,182,179,182,181,180,181,182
2088-2089,180,180,181,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,181,180,181,181,181,181,181,181,180,180,181,180,180,180,181,180,181,180,181,181,180,181,181,180,180,181,180,181,181,181,181,181,180,181,180,181,181,180,181,180,180,180,180,181,180,181,180
2089-2090,180,180,181,181,181,181,181,179,181,181,181,179,181,181,181,181,181,181,179,181,180,181,180,181,181,181,181,179,181,181,181,181,181,180,179,179,180,181,181,181,181,181,181,179,180,180,181,178,181,179,179,179,181,181,181,181,181,179,180,181,179,180,181,180,181,181,181,180
2090-2091,181,181,180,181,181,181,181,180,181,180,181,180,181,180,181,181,181,180,180,181,181,180,181,181,181,181,181,180,181,181,181,181,181,181,179,180,181,181,180,181,181,181,180,180,181,181,181,179,180,180,180,179,181,181,181,181,181,180,181,180,180,181,181,181,181,181,181,180
2091-2092,182,182,181,180,180,182,182,182,182,181,182,182,180,181,182,182,182,179,182,180,182,179,182,182,182,182,182,182,182,182,182,182,182,182,181,182,182,182,181,182,182,182,181,182,180,182,182,181,181,180,182,181,180,182,182,182,182,180,182,181,182,180,182,182,182,180,182,179
2092-2093,181,181,181,180,180,179,181,179,181,181,181,181,180,179,181,181,181,180,181,180,179,180,181,181,181,181,181,181,181,181,181,181,181,179,181,181,179,181,181,181,181,181,179,181,180,181,179,179,181,180,181,181,180,181,181,181,181,178,181,179,179,180,181,181,179,180,181,180
2093-2094,181,181,181,181,179,180,181,178,181,181,181,181,181,180,179,181,179,181,181,181,180,181,181,181,181,181,179,181,181,181,181,181,181,180,181,181,178,181,181,179,179,181,178,181,181,181,180,180,179,181,181,181,181,181,181,181,179,180,181,180,180,179,181,181,180,179,181,181
2094-2095,181,181,179,181,180,181,179,180,181,181,181,181,181,181,180,181,180,181,181,181,181,181,181,181,181,179,180,181,181,181,179,179,181,179,181,181,180,181,181,180,180,179,180,179,181,181,179,181,180,181,179,181,181,181,181,181,180,181,179,181,181,180,181,181,179,180,179,181
2095-2096,180,181,181,182,181,182,181,180,182,182,182,182,182,182,182,182,182,181,180,182,182,180,181,180,181,181,180,181,181,182,180,180,182,181,182,182,182,182,182,182,182,179,180,179,181,182,181,182,180,180,180,182,180,181,181,182,182,182,181,182,181,182,182,181,179,181,180,182
2096-2097,180,181,181,181,181,180,180,180,181,181,181,181,180,181,180,181,181,181,180,181,181,180,181,180,181,181,180,181,180,180,181,181,181,181,181,181,181,181,181,181,180,180,180,180,181,181,180,181,180,180,180,181,180,181,181,180,181,181,181,181,181,180,180,181,180,180,181,181
2097-2098,181,181,181,181,179,178,180,181,181,181,181,181,180,181,180,181,181,181,181,181,181,181,181,179,181,179,181,181,180,180,179,181,181,179,181,181,181,181,181,181,180,179,181,181,179,181,180,179,181,181,180,181,179,181,181,180,181,181,181,179,179,180,180,181,181,178,181,181
2098-2099,181,181,181,181,180,180,181,181,179,181,179,181,181,181,181,181,181,181,181,181,181,179,181,180,181,180,181,181,181,179,178,181,181,180,181,181,179,181,179,181,181,180,179,179,180,179,181,180,181,181,179,181,180,181,181,179,181,181,181,180,180,181,181,181,181,180,179,181
