Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
2017-2018,87.0,137.0,64.0,78.0,85.0,65.0,146.0,130.0,22.0,136.0,45.0,114.0,0.0,0.0,130.0,85.0,137.0,136.0,97.0,129.0,0.0,126.0,119.0,109.0,22.0,0.0,116.0,140.0,84.0,136.0,113.0,88.0,86.0,98.0,0.0,118.0,115.0,36.0,24.0,104.0,45.0,103.0,42.0,105.0,99.0,0.0,81.0,7.0,49.0,29.0,37.0,84.0,24.0,66.0,74.0,0.0,111.0,57.0,137.0,100.0,0.0,43.0,90.0,100.0,28.0,62.0,37.0,124.0
2018-2019,146.0,121.0,66.0,126.0,65.0,119.0,0.0,0.0,0.0,0.0,40.0,22.0,128.0,112.0,58.0,23.0,0.0,36.0,37.0,95.0,0.0,126.0,0.0,33.0,77.0,97.0,84.0,51.0,0.0,115.0,131.0,51.0,101.0,119.0,32.0,8.0,28.0,0.0,6.0,6.0,62.0,28.0,14.0,83.0,60.0,0.0,40.0,70.0,0.0,0.0,0.0,0.0,101.0,121.0,0.0,68.0,86.0,0.0,0.0,0.0,37.0,55.0,0.0,0.0,74.0,0.0,97.0,54.0
2019-2020,69.0,18.0,83.0,0.0,16.0,108.0,23.0,0.0,100.0,2.0,127.0,117.0,85.0,40.0,99.0,27.0,26.0,65.0,84.0,82.0,0.0,137.0,139.0,125.0,0.0,0.0,50.0,0.0,102.0,95.0,123.0,82.0,86.0,90.0,79.0,0.0,101.0,112.0,72.0,80.0,82.0,0.0,76.0,0.0,120.0,0.0,31.0,108.0,118.0,0.0,0.0,26.0,72.0,0.0,77.0,2.0,2.0,103.0,0.0,72.0,6.0,43.0,74.0,116.0,0.0,123.0,144.0,7.0
2020-2021,0.0,135.0,105.0,125.0,113.0,91.0,78.0,150.0,72.0,66.0,30.0,61.0,98.0,39.0,71.0,101.0,0.0,67.0,92.0,124.0,46.0,0.0,79.0,77.0,0.0,111.0,48.0,91.0,139.0,20.0,127.0,65.0,39.0,93.0,132.0,88.0,63.0,78.0,90.0,24.0,32.0,161.0,164.0,148.0,17.0,139.0,34.0,157.0,139.0,81.0,62.0,6.0,114.0,146.0,136.0,22.0,74.0,14.0,103.0,32.0,155.0,56.0,5.0,94.0,91.0,21.0,129.0,129.0
2021-2022,22.0,0.0,52.0,0.0,111.0,11.0,134.0,36.0,0.0,0.0,10.0,89.0,36.0,58.0,124.0,62.0,132.0,34.0,25.0,29.0,134.0,105.0,99.0,31.0,74.0,48.0,96.0,133.0,65.0,59.0,93.0,4.0,0.0,80.0,80.0,111.0,0.0,0.0,16.0,62.0,49.0,113.0,94.0,0.0,0.0,106.0,127.0,0.0,0.0,91.0,74.0,72.0,139.0,120.0,59.0,0.0,42.0,110.0,0.0,26.0,0.0,45.0,61.0,0.0,1.0,0.0,123.0,65.0
2022-2023,81.0,58.0,4.0,38.0,34.0,25.0,22.0,65.0,145.0,16.0,73.0,0.0,127.0,0.0,27.0,33.0,10.0,66.0,0.0,51.0,6.0,33.0,95.0,8.0,74.0,0.0,60.0,59.0,85.0,5.0,78.0,98.0,47.0,93.0,97.0,0.0,94.0,136.0,0.0,4.0,41.0,111.0,0.0,55.0,16.0,22.0,0.0,106.0,29.0,105.0,62.0,52.0,119.0,0.0,99.0,0.0,13.0,34.0,0.0,0.0,16.0,11.0,1.0,68.0,0.0,0.0,21.0,0.0
2023-2024,91.0,84.0,68.0,107.0,39.0,0.0,116.0,0.0,30.0,117.0,135.0,98.0,98.0,92.0,39.0,0.0,23.0,54.0,41.0,69.0,97.0,75.0,133.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,83.0,154.0,65.0,0.0,102.0,63.0,154.0,9.0,0.0,58.0,0.0,0.0,104.0,0.0,89.0,66.0,56.0,80.0,35.0,0.0,52.0,0.0,12.0,20.0,0.0,0.0,112.0,76.0,0.0,0.0,41.0,65.0,25.0,84.0,11.0,0.0,109.0,0.0
2024-2025,80.0,59.0,0.0,71.0,117.0,10.0,76.0,0.0,119.0,0.0,0.0,140.0,123.0,108.0,83.0,38.0,82.0,93.0,14.0,80.0,92.0,140.0,36.0,100.0,0.0,6.0,120.0,80.0,181.0,0.0,118.0,80.0,88.0,55.0,153.0,47.0,96.0,57.0,56.0,98.0,0.0,4.0,108.0,77.0,12.0,0.0,40.0,0.0,47.0,0.0,68.0,0.0,137.0,0.0,0.0,0.0,75.0,81.0,30.0,0.0,46.0,90.0,51.0,0.0,46.0,0.0,25.0,0.0
2025-2026,0.0,125.0,113.0,74.0,112.0,35.0,64.0,70.0,43.0,93.0,92.0,81.0,103.0,130.0,38.0,70.0,108.0,31.0,118.0,33.0,126.0,100.0,15.0,0.0,35.0,70.0,91.0,65.0,0.0,20.0,136.0,0.0,0.0,106.0,43.0,64.0,125.0,81.0,68.0,131.0,74.0,0.0,73.0,32.0,30.0,62.0,0.0,29.0,0.0,90.0,0.0,154.0,126.0,0.0,0.0,118.0,37.0,133.0,126.0,71.0,40.0,96.0,0.0,57.0,87.0,97.0,99.0,2.0
2026-2027,31.0,7.0,97.0,6.0,0.0,105.0,41.0,104.0,74.0,48.0,102.0,103.0,28.0,0.0,107.0,20.0,99.0,10.0,10.0,109.0,0.0,24.0,0.0,0.0,46.0,0.0,0.0,35.0,0.0,105.0,0.0,0.0,19.0,0.0,85.0,121.0,0.0,78.0,76.0,53.0,68.0,96.0,22.0,94.0,77.0,88.0,109.0,76.0,62.0,81.0,95.0,91.0,82.0,78.0,86.0,34.0,82.0,76.0,100.0,74.0,2.0,8.0,121.0,62.0,47.0,8.0,133.0,39.0
