ID,NAME,LAT,LONG,ELEVATION
164,45-9166667_7-0416667p,45.92,7.04,3032.2
165,45-9166667_7-0625000p,45.92,7.06,2526.8
166,45-9166667_7-0833333p,45.92,7.08,2040.5
167,45-9166667_7-1041667p,45.92,7.1,1939.5
168,45-9166667_7-1250000p,45.92,7.13,2672.5
169,45-9166667_7-1458333p,45.92,7.15,2556.8
170,45-9166667_7-1666667p,45.92,7.17,2349.2
171,45-9166667_7-1875000p,45.92,7.19,1915
172,45-9166667_7-2083333p,45.92,7.21,2657
173,45-9166667_7-2291667p,45.92,7.23,2931.5
174,45-9166667_7-2500000p,45.92,7.25,2937.8
175,45-9166667_7-2708333p,45.92,7.27,2940.8
176,45-9166667_7-2916667p,45.92,7.29,2804.2
177,45-9166667_7-3125000p,45.92,7.31,2982.5
178,45-9166667_7-3333333p,45.92,7.33,2802.2
179,45-9166667_7-3541667p,45.92,7.35,2998
180,45-9166667_7-3750000p,45.92,7.38,2809.2
181,45-9166667_7-3958333p,45.92,7.4,3065.5
182,45-9166667_7-4166667p,45.92,7.42,2892
183,45-9166667_7-4375000p,45.92,7.44,2365.8
184,45-9166667_7-4583333p,45.92,7.46,2537
185,45-9166667_7-4791667p,45.92,7.48,2429.5
186,45-9166667_7-5000000p,45.92,7.5,2085.8
187,45-9166667_7-5208333p,45.92,7.52,2390.2
188,45-9166667_7-5416667p,45.92,7.54,2750
189,45-9166667_7-5833333p,45.92,7.58,2516.2
190,45-9166667_7-6041667p,45.92,7.6,1942.5
191,45-9166667_7-6250000p,45.92,7.63,2401.5
192,45-9166667_7-6458333p,45.92,7.65,2582.8
193,45-9166667_7-6666667p,45.92,7.67,2769.2
194,45-9166667_7-6875000p,45.92,7.69,2748.5
195,45-9166667_7-7083333p,45.92,7.71,3112
196,45-9166667_7-7291667p,45.92,7.73,3241.5
197,45-9166667_7-7500000p,45.92,7.75,2816
198,45-9166667_7-7708333p,45.92,7.77,3271.2
199,45-9166667_7-7916667p,45.92,7.79,3520.2
200,45-9166667_7-8125000p,45.92,7.81,3449
201,45-9166667_7-8333333p,45.92,7.83,3795.8
202,45-9166667_7-8541667p,45.92,7.85,3924
203,45-9166667_7-8750000p,45.92,7.88,2775.2
204,45-9166667_7-8958333p,45.92,7.9,2494
205,45-9166667_8-8333333p,45.92,8.83,797
206,45-9166667_8-8541667p,45.92,8.85,660
207,45-9166667_8-8750000p,45.92,8.88,378.5
208,45-9166667_8-8958333p,45.92,8.9,270.8
209,45-9166667_8-9166667p,45.92,8.92,530.5
210,45-9166667_8-9375000p,45.92,8.94,863.8
211,45-9166667_8-9583333p,45.92,8.96,274.8
212,45-9166667_8-9791667p,45.92,8.98,356
213,45-9166667_9-0000000p,45.92,9,1099.8
214,45-9166667_9-0208333p,45.92,9.02,790.5
215,45-9166667_9-0416667p,45.92,9.04,879.5
216,45-9166667_9-0625000p,45.92,9.06,1057.2
217,45-9166667_9-0833333p,45.92,9.08,977.2
218,45-9166667_9-1041667p,45.92,9.1,1048.5
219,45-9375000_6-9791667p,45.94,6.98,3296.5
220,45-9375000_7-0000000p,45.94,7,2964.5
221,45-9375000_7-0208333p,45.94,7.02,3066.5
222,45-9375000_7-0416667p,45.94,7.04,2891.5
223,45-9375000_7-0625000p,45.94,7.06,2242.5
224,45-9375000_7-0833333p,45.94,7.08,1637.8
225,45-9375000_7-1041667p,45.94,7.1,1844
226,45-9375000_7-1250000p,45.94,7.13,2551
227,45-9375000_7-1458333p,45.94,7.15,2418
228,45-9375000_7-1666667p,45.94,7.17,2453.8
229,45-9375000_7-1875000p,45.94,7.19,1968.2
230,45-9375000_7-2083333p,45.94,7.21,2140.8
231,45-9375000_7-2291667p,45.94,7.23,2148
232,45-9375000_7-2500000p,45.94,7.25,2852.2
233,45-9375000_7-2708333p,45.94,7.27,3268.2
234,45-9375000_7-2916667p,45.94,7.29,3598.5
235,45-9375000_7-3125000p,45.94,7.31,3328
236,45-9375000_7-3333333p,45.94,7.33,2747.8
237,45-9375000_7-3541667p,45.94,7.35,2491.5
238,45-9375000_7-3750000p,45.94,7.38,2503.5
239,45-9375000_7-3958333p,45.94,7.4,2671.8
240,45-9375000_7-4166667p,45.94,7.42,2921.5
241,45-9375000_7-4375000p,45.94,7.44,3174.5
242,45-9375000_7-4583333p,45.94,7.46,3307.8
243,45-9375000_7-4791667p,45.94,7.48,3019.5
244,45-9375000_7-5000000p,45.94,7.5,2567.5
245,45-9375000_7-5208333p,45.94,7.52,2607.8
246,45-9375000_7-5416667p,45.94,7.54,2386.5
247,45-9375000_7-5625000p,45.94,7.56,2854
248,45-9375000_7-5833333p,45.94,7.58,2729.8
249,45-9375000_7-6041667p,45.94,7.6,2316.5
250,45-9375000_7-6250000p,45.94,7.63,2207.2
251,45-9375000_7-6458333p,45.94,7.65,2417
252,45-9375000_7-6666667p,45.94,7.67,2694.2
253,45-9375000_7-6875000p,45.94,7.69,3068.2
254,45-9375000_7-7083333p,45.94,7.71,3653
255,45-9375000_7-7291667p,45.94,7.73,3826
256,45-9375000_7-7500000p,45.94,7.75,3748.2
257,45-9375000_7-7708333p,45.94,7.77,3732.8
258,45-9375000_7-7916667p,45.94,7.79,3629.2
259,45-9375000_7-8125000p,45.94,7.81,3752.5
260,45-9375000_7-8333333p,45.94,7.83,3828
261,45-9375000_7-8541667p,45.94,7.85,4149.5
262,45-9375000_7-8750000p,45.94,7.88,3371.8
263,45-9375000_7-8958333p,45.94,7.9,2900.2
264,45-9375000_7-9166667p,45.94,7.92,2771.2
265,45-9375000_7-9375000p,45.94,7.94,2355.5
266,45-9375000_7-9583333p,45.94,7.96,1611.8
267,45-9375000_7-9791667p,45.94,7.98,1918.5
268,45-9375000_8-8125000p,45.94,8.81,465.2
269,45-9375000_8-8333333p,45.94,8.83,769
270,45-9375000_8-8541667p,45.94,8.85,743
271,45-9375000_8-8750000p,45.94,8.88,261.5
272,45-9375000_8-8958333p,45.94,8.9,406.2
273,45-9375000_8-9166667p,45.94,8.92,410.8
274,45-9375000_8-9375000p,45.94,8.94,285.5
275,45-9375000_8-9583333p,45.94,8.96,285
276,45-9375000_8-9791667p,45.94,8.98,429.5
